model,chain,stage,accept_rate
Dysbiotic_Static,1,0,0.9822
Dysbiotic_Static,1,1,0.567
Dysbiotic_Static,1,2,0.4794
Dysbiotic_Static,1,3,0.4558
Dysbiotic_Static,1,4,0.4302
Dysbiotic_Static,2,0,0.1534
Dysbiotic_Static,2,1,0.0344
Dysbiotic_Static,2,2,0.4462
Dysbiotic_Static,2,3,0.4092
Dysbiotic_Static,2,4,0.3732
Dysbiotic_Static,2,5,0.3552
Dysbiotic_Static,2,6,0.3364
Dysbiotic_Static,2,7,0.3326
Dysbiotic_Static,2,8,0.3212
Dysbiotic_Static,2,9,0.3194
Dysbiotic_Static,2,10,0.3178
Dysbiotic_Static,2,11,0.307
Dysbiotic_Static,2,12,0.303
Dysbiotic_Static,2,13,0.3078
Dysbiotic_Static,2,14,0.298
Dysbiotic_Static,2,15,0.2842
Dysbiotic_Static,2,16,0.2532
Dysbiotic_Static,2,17,0.0364
Dysbiotic_Static,2,18,0.229
Dysbiotic_Static,2,19,0.2238
Dysbiotic_Static,2,20,0.2426
Dysbiotic_Static,2,21,0.2486
Dysbiotic_Static,2,22,0.2318
Dysbiotic_Static,2,23,0.2204
Dysbiotic_Static,2,24,0.1878
Dysbiotic_Static,2,25,0.1702
Dysbiotic_Static,2,26,0.1622
Dysbiotic_Static,2,27,0.162
