condition,pair,expected,observed,match,strength,source
commensal_static (CS),"A[So,An]",+,+1.388,✓,strong,Dieckow_SI (Neo4j)
commensal_static (CS),"A[So,Vd]",+,+2.150,✓,strong,Dieckow_SI (Neo4j)
commensal_static (CS),"A[So,Fn]",+,+1.042,✓,strong,Dieckow_SI (Neo4j)
commensal_static (CS),"A[An,Vd]",+,+2.232,✓,strong,Dieckow_SI (Neo4j)
commensal_static (CS),"A[An,Pg]",+,+1.427,✓,moderate,Dieckow_SI (Neo4j)
commensal_static (CS),"A[Vd,Pg]",+,+2.694,✓,moderate,Dieckow_SI (Neo4j)
commensal_static (CS),"A[So,Pg]",-,+1.847,✗,weak,DH_MAP_only (strain W83)
commensal_hobic  (CH),"A[So,An]",+,+1.754,✓,strong,Dieckow_SI (Neo4j)
commensal_hobic  (CH),"A[So,Vd]",+,+0.908,✓,strong,Dieckow_SI (Neo4j)
commensal_hobic  (CH),"A[So,Fn]",+,+1.911,✓,strong,Dieckow_SI (Neo4j)
commensal_hobic  (CH),"A[An,Vd]",+,+2.473,✓,strong,Dieckow_SI (Neo4j)
commensal_hobic  (CH),"A[An,Pg]",+,+0.482,✓,moderate,Dieckow_SI (Neo4j)
commensal_hobic  (CH),"A[Vd,Pg]",+,+2.265,✓,moderate,Dieckow_SI (Neo4j)
commensal_hobic  (CH),"A[So,Pg]",-,+2.260,✗,weak,DH_MAP_only (strain W83)
dh_baseline      (DH),"A[So,An]",+,+1.821,✓,strong,Dieckow_SI (Neo4j)
dh_baseline      (DH),"A[So,Vd]",+,+2.080,✓,strong,Dieckow_SI (Neo4j)
dh_baseline      (DH),"A[So,Fn]",+,-0.441,✗,strong,Dieckow_SI (Neo4j)
dh_baseline      (DH),"A[An,Vd]",+,+2.415,✓,strong,Dieckow_SI (Neo4j)
dh_baseline      (DH),"A[An,Pg]",+,-0.253,✗,moderate,Dieckow_SI (Neo4j)
dh_baseline      (DH),"A[Vd,Pg]",+,+1.653,✓,moderate,Dieckow_SI (Neo4j)
dh_baseline      (DH),"A[So,Pg]",-,-0.439,✓,weak,DH_MAP_only (strain W83)
dysbiotic_static (DS),"A[So,An]",+,+0.325,✓,strong,Dieckow_SI (Neo4j)
dysbiotic_static (DS),"A[So,Vd]",+,+0.485,✓,strong,Dieckow_SI (Neo4j)
dysbiotic_static (DS),"A[So,Fn]",+,+2.502,✓,strong,Dieckow_SI (Neo4j)
dysbiotic_static (DS),"A[An,Vd]",+,+2.680,✓,strong,Dieckow_SI (Neo4j)
dysbiotic_static (DS),"A[An,Pg]",+,+0.159,✓,moderate,Dieckow_SI (Neo4j)
dysbiotic_static (DS),"A[Vd,Pg]",+,+0.979,✓,moderate,Dieckow_SI (Neo4j)
dysbiotic_static (DS),"A[So,Pg]",-,+1.473,✗,weak,DH_MAP_only (strain W83)
Dieckow: fit_joint_5sp_meta.json,"A[So,An]",+,+4.064,✓,strong,Dieckow_SI (Neo4j)
Dieckow: fit_joint_5sp_meta.json,"A[So,Vd]",+,-2.938,✗,strong,Dieckow_SI (Neo4j)
Dieckow: fit_joint_5sp_meta.json,"A[So,Fn]",+,+1.357,✓,strong,Dieckow_SI (Neo4j)
Dieckow: fit_joint_5sp_meta.json,"A[An,Vd]",+,+3.976,✓,strong,Dieckow_SI (Neo4j)
Dieckow: fit_joint_5sp_meta.json,"A[An,Pg]",+,+2.862,✓,moderate,Dieckow_SI (Neo4j)
Dieckow: fit_joint_5sp_meta.json,"A[Vd,Pg]",+,+0.571,✓,moderate,Dieckow_SI (Neo4j)
Dieckow: fit_joint_5sp_meta.json,"A[So,Pg]",-,+4.335,✗,weak,DH_MAP_only (strain W83)
