sample,Actinobacteria,Bacilli,Bacteroidia,Betaproteobacteria,Clostridia,Coriobacteriia,Fusobacteriia,Gammaproteobacteria,Negativicutes,Other
A_1,47.88,22.8,3.11,2.3,4.74,8.24,0.25,4.2,6.18,0.29
A_2,20.2,62.65,2.09,6.63,0.15,0.8,1.47,4.4,1.58,0.07
A_3,2.86,20,12.25,44.08,5.71,0,6.53,2.04,3.27,3.27
B_1,3.25,37.53,17.63,22.56,5.71,0.1,6.3,0.3,6.4,0.2
B_2,36.03,32.36,9.56,13.97,1.47,0,0.74,0,5.88,0
B_3,27.72,41.43,9.33,12.58,0.3,0.06,2.59,0.15,5.79,0.02
C_1,26.53,33.52,2.88,12.79,2.69,1.07,0.62,15.27,4.58,0.08
C_2,34.74,32.8,2.7,2.37,1.36,2.37,0.95,5.88,16.07,0.76
C_3,12.52,39.43,2.84,13.95,1.33,3.76,1.3,17.78,6.9,0.21
D_1,1.76,93.18,0.22,1.1,0.88,0,0,0,2.64,0.22
D_2,10.62,88.64,0,0.11,0,0,0,0.04,0.55,0.04
D_3,16.3,57.67,0,7.06,0.73,8.52,0,2.92,6.81,0
E_1,10.32,53.07,11.47,0.4,2.25,0.88,0.02,2.22,19.35,0.04
E_2,15.19,71.52,3.47,1.2,0.35,0,0.17,0.66,7.35,0.11
E_3,10.66,67.78,3.75,4.76,0.69,0.59,0.19,0.94,10.51,0.1
F_1,62.05,16.13,7.12,0.04,0.9,10.8,0.21,0.06,2.62,0.09
F_2,52.9,24.11,4.53,0.58,0.57,3.61,2.77,0,10.85,0.08
F_3,32.22,44.44,6.9,1.6,0.11,0.91,1.04,0.01,12.61,0.18
G_1,3.49,77.25,6.05,3.91,0.27,0.02,1.59,4.53,2.9,0
G_2,26.22,53.51,8.21,2.57,0.44,1.61,0.48,0.77,5.17,0.99
G_3,18.39,73.35,0.77,6.38,0.09,0.18,0.08,0.44,0.3,0.03
H_1,8.62,56.93,4.77,17.03,2.03,0.38,0.89,7.94,1.19,0.22
H_2,19.36,30.14,14.06,29.12,1.32,0.57,0.1,1.48,3.63,0.21
H_3,20.8,50.07,4.77,22.75,0.11,0.03,0.32,0.72,0.39,0.05
K_1,14.02,74.33,0.03,0.44,1.02,0.01,3.53,2.47,4.15,0.01
K_2,0.95,94.91,0,0,0,0.07,0,0,4.07,0
K_3,31.93,52.42,3.09,2.56,1.31,0.86,0.92,2.4,4.33,0.17
L_1,5.86,91.32,0,0.43,0.22,0,1.74,0.22,0.22,0
L_2,31.03,60.75,0,0.8,0,0,0,4.77,2.65,0
L_3,3.92,88.02,0.53,0,0.29,2.16,0.26,0.64,4.14,0.04
